cust,st,g,a,salesrev
Georgina Warner,CA,Female,39,$360
Gerald Mason,AZ,Male,82,$459
Gerald Olsen,TN,Male,43,$519
Geraldine Burnett,CA,Female,55,$264
Gerard Dominguez,NY,Male,50,$150
Gerard Wong,TX,Male,59,$180
Gerardo Fitzpatrick,NY,Male,45,$284
Gerardo Romero,AZ,Male,47,$210
German Baxter,AZ,Male,42,$419
German Rollins,FL,Male,70,$103
Gerry Hale,LA,Male,49,$149
Gerry Huff,CO,Male,62,$221
Gerry Odonnell,TX,Male,32,$66
Gertrude Lindsay,GA,Female,57,$356
Gertrude Moses,FL,Female,45,$240
Gil Dickerson,CA,Male,67,$539
Gil Pickett,GA,Male,54,$386
Gilbert Little,CA,Male,67,$91
Gilberto Johnson,VA,Male,64,$289
Gilberto Kennedy,NJ,Male,65,$213
Gilberto Summers,AL,Male,57,$347
Gilda Hurst,FL,Female,80,$240
Gilda Joseph,CA,Female,74,$544
Gilda Mathis,CA,Female,34,$52
Gina McIntyre,FL,Female,80,$50
Gina Small,TX,Female,43,$117
Ginger Fischer,PA,Female,62,$340
Ginger Howe,FL,Female,71,$1160
Ginger Ortega,CA,Female,58,$589
Gino Hawkins,NM,Male,56,$100
Giovanni Nunez,NJ,Male,70,$272
Giuseppe Baldwin,LA,Male,23,$904
Giuseppe Hampton,NY,Male,34,$78
Giuseppe Haney,FL,Male,67,$194
Gladys Dickerson,NY,Female,75,$245
Gladys Fuller,AZ,Female,53,$25
Gladys Haley,WA,Female,57,$499
Glen Clayton,NY,Male,54,$339
Glenda Young,NC,Female,53,$52
Glenna Gilmore,CA,Female,71,$300
Gloria Davenport,CT,Female,58,$108
Gloria Mosley,NC,Female,36,$30
Gloria Oneal,CT,Female,59,$160
Gloria Roy,CA,Female,64,$459
Goldie Gallagher,NY,Female,28,$20
Gonzalo Hill,NY,Male,66,$709
Gonzalo Rios,NC,Male,22,$1249
Gordon Fry,AZ,Male,56,$259
Grace Olsen,AZ,Female,63,$1160
Graciela Booker,MA,Female,48,$100
Graciela Chandler,TX,Female,52,$560
Graciela Conner,FL,Female,93,$15
Graciela Garcia,CO,Female,77,$208
Graciela Lynch,GA,Female,74,$589
Graciela Peck,OH,Female,55,$419
Graciela Perez,NJ,Female,40,$634
Graciela Richardson,CT,Female,29,$58
Graciela Watkins,SC,Female,63,$329
Grady Brady,CO,Male,44,$750
Grady Gilbert,NY,Male,56,$542
Graham Norris,TX,Male,70,$249
Graig Blair,NH,Male,52,$160
Graig Mathis,NY,Male,47,$205
Grant Delaney,TX,Male,52,$100
Granville McCullough,CT,Male,51,$745
Granville Olson,NJ,Male,38,$13
Granville Pitts,TX,Male,56,$50
Greg Cleveland,MA,Male,26,$209
Greg Gomez,TX,Male,73,$379
Gregorio Bean,OR,Male,66,$165
Gregorio Fletcher,TX,Male,79,$490
Gregorio Johns,AZ,Male,75,$259
Gregorio Peters,CA,Male,48,$184
Gregorio Woodward,FL,Male,85,$190
Greta Logan,WA,Female,55,$397
Grover Garner,MA,Male,54,$240
Grover Glass,NC,Male,66,$184
Grover Sawyer,NY,Male,33,$184
Grover Walker,FL,Male,88,$252
Guadalupe Bradley,LA,Female,54,$379
Guadalupe Farmer,OR,Male,50,$911
Guadalupe McCullough,TX,Female,44,$479
Guadalupe Michael,PA,Female,70,$203
Guadalupe Rivas,GA,Female,46,$349
Guadalupe Shaffer,FL,Female,93,$484
Guillermo McIntosh,AL,Male,47,$304
Guillermo Terry,NC,Male,36,$280
Gustavo Barnes,PA,Male,74,$191
Gustavo Neal,GA,Male,67,$1224
Gwendolyn Atkins,GA,Female,74,$420
Gwendolyn Jarvis,GA,Female,69,$234
Hal Knowles,NC,Male,23,$302
Haley Stewart,NC,Female,67,$80
Haley Walton,VA,Female,62,$209
Hallie Copeland,GA,Female,56,$662
Hallie Hopkins,FL,Female,53,$80
Hallie Shaw,WA,Female,38,$212
Hank Hill,FL,Male,43,$194
Hannah Dean,RI,Female,60,$239
Hannah House,RI,Female,25,$1279
Hannah Rodgers,GA,Female,68,$559
Hannah Stevens,NY,Female,71,$519
Hans Bennett,GA,Male,23,$376
Hans Soto,NC,Male,38,$695
Harlan Dennis,CA,Male,62,$26
Harlan Harris,WA,Male,46,$190
Harlan Howe,TX,Male,59,$239
Harland Cotton,TN,Male,32,$95
Harland Peters,GA,Male,43,$279
Harley Clay,UT,Male,71,$204
Harriet Mooney,CA,Female,57,$1153
Harris Foreman,MA,Male,48,$1220
Harris Hobbs,CA,Male,27,$122
Harris Wong,TX,Male,65,$263
Harrison Ayers,CA,Male,27,$391
Harry Higgins,FL,Male,82,$319
Harvey Maldonado,FL,Male,58,$204
Hattie Short,NC,Female,63,$100
Hayden Villarreal,CA,Male,62,$235
Hazel Phillips,VA,Female,37,$60
Heath McCray,CA,Male,58,$121
Heather May,FL,Female,65,$363
Heather Wagner,FL,Female,70,$210
Hector Daniel,TN,Male,27,$292
Hector Fitzgerald,TX,Male,73,$120
Heidi Landry,TX,Female,38,$303
Heidi Pickett,VA,Female,63,$490
Helen Ayers,CO,Female,37,$159
Helena Galloway,CA,Female,59,$142
Helena Luna,FL,Female,66,$104
Helena Rosales,OH,Female,59,$199
Helena Steele,NH,Female,59,$254
Helene Castillo,CA,Female,64,$180
Helene Walton,NC,Female,31,$103
Helga Pitts,NC,Female,39,$160
Henrietta McCoy,TX,Female,56,$190
Henrietta McMahon,TX,Female,75,$123
Henry Adkins,FL,Male,57,$145
Henry Franco,TX,Male,70,$669
Herb Harvey,CT,Male,27,$98
Heriberto Marsh,CA,Male,71,$152
Heriberto McMillan,FL,Male,88,$30
Heriberto Norris,CT,Male,64,$430
Herman Castillo,WA,Male,39,$150
Herman Gould,TN,Male,32,$7
Herminia Bradshaw,CT,Female,49,$208
Herminia Rosario,TX,Female,46,$249
Herschel Berry,TX,Male,67,$35
Hershel Garza,TN,Male,73,$200
Hester Crane,NC,Female,56,$140
Hester Johnson,AL,Female,68,$85
Hester McKee,TX,Female,43,$259
Hester Nieves,AZ,Female,50,$264
Hester Ortega,AZ,Female,67,$120
Hilario Drake,FL,Male,83,$65
Hilario Nixon,GA,Male,36,$120
Hilario Robles,FL,Male,94,$224
Hilary McFarland,TN,Female,53,$284
Hilda Craft,NC,Female,31,$581
Hilda Mercado,OR,Female,65,$180
Hillary Kelley,NC,Female,33,$60
Hillary Marks,CT,Female,54,$117
Hilton Harding,NY,Male,42,$180
Hilton McLaughlin,TX,Male,28,$20
Hiram Moses,TX,Male,70,$274
Hiram Perez,LA,Male,65,$74
Hobert Moore,PA,Male,65,$78
Hollie Powell,FL,Female,91,$350
Holly Vargas,MA,Female,50,$511
Hong Chang,TN,Male,38,$736
Hong McMahon,TN,Male,57,$147
Hope Barber,TN,Female,51,$60
Hope Kaufman,AZ,Female,54,$78
Horace Guthrie,MA,Male,22,$264
Horace Vazquez,FL,Male,57,$344
Horacio Barton,AZ,Male,85,$320
Horacio Black,MA,Male,51,$1078
Horacio Duran,CA,Male,41,$150
Hosea Hart,PA,Male,27,$353
Hosea Sherman,OH,Male,61,$307
Hoyt Bennett,NY,Male,23,$20
Hoyt Harris,NJ,Male,51,$316
Hoyt Levine,GA,Male,66,$52
Hoyt McKee,CA,Male,31,$50
Hoyt Richard,MA,Male,64,$289
Hoyt Rios,GA,Male,63,$349
Hoyt Rivas,LA,Male,69,$60
Hubert Buck,LA,Male,51,$70
Hubert Cobb,UT,Male,34,$661
Hubert Soto,GA,Male,34,$372
Huey Castillo,AZ,Male,51,$75
Huey Weiss,AZ,Male,33,$346
Hugh Leach,CO,Male,69,$230
Hugh McLaughlin,TX,Male,43,$254
Hugh McMillan,CA,Male,43,$284
Hugh Wise,MA,Male,27,$288
Hugo Marshall,CO,Male,71,$337
Humberto Allen,LA,Male,71,$568
Humberto Barrett,VA,Male,38,$238
Humberto Hogan,NC,Male,24,$300
Humberto Mendoza,TX,Male,60,$342
Humberto Mosley,NY,Male,40,$824
Hunter Barnes,FL,Male,53,$225
Hunter Summers,RI,Male,32,$95
Hyman Lancaster,MA,Male,69,$456
Hyman Wagner,OR,Male,68,$105
Ian Mayer,FL,Male,56,$40
Ida Walker,CA,Female,53,$319
Ignacio Booth,VA,Male,61,$275
Ike Cash,FL,Male,65,$709
Ike Stevenson,WA,Male,49,$295
Ila Lamb,VA,Female,77,$339
Ilene Bradford,NY,Female,57,$160
Imelda Ellis,GA,Female,59,$156
Imelda McCall,FL,Female,97,$191
Imogene Collins,NJ,Female,66,$150
Imogene Hancock,NY,Female,38,$120
Imogene Mendez,NC,Female,54,$122
Imogene Nolan,TX,Female,66,$25
Ina Haynes,SC,Female,37,$264
Ina Holloway,FL,Female,91,$66
Ina Simmons,VA,Female,30,$415
Inez Reeves,CO,Female,26,$170
Ingrid Hill,FL,Female,93,$80
Ira Buchanan,NC,Male,32,$599
Ira Snyder,PA,Male,55,$140
Irene Austin,TX,Female,70,$168
Irene Herrera,WA,Female,67,$245
Iris Avery,CA,Female,24,$350
Iris Wilson,GA,Female,67,$156
Irma Dudley,FL,Female,45,$274
Irma Strong,GA,Female,50,$60
Irvin Woodard,GA,Male,26,$250
Irwin Hobbs,LA,Male,60,$130
Irwin Ramirez,RI,Male,64,$252
Irwin Richmond,CA,Male,64,$420
Irwin Sampson,FL,Male,43,$1520
Isaac Vasquez,GA,Male,36,$50
Isabel Campbell,TN,Female,63,$175
Isabel Farrell,CO,Female,65,$20
Isabella Guthrie,VA,Female,25,$198
Isabella Larson,GA,Female,67,$387
Isabelle Ray,CA,Female,31,$117
Isabelle Reese,VA,Female,63,$43
Isaias Buck,CA,Male,57,$131
Isaias Goodwin,PA,Male,73,$184
Isaias Moon,NC,Male,44,$118
Isaias Shelton,TX,Male,32,$124
Isaias Summers,TX,Male,37,$228
Isiah Charles,SC,Male,34,$388
Isidro Berg,RI,Male,21,$240
Isidro Fields,WA,Male,32,$56
Isidro Powell,GA,Male,31,$52
Ismael Michael,TX,Male,47,$250
Israel Wilkerson,WA,Male,64,$170
Isreal Ferrell,CT,Male,41,$100
Isreal Ortega,TX,Male,61,$40
Iva McIntosh,AL,Female,73,$180
Ivan Cabrera,CA,Male,23,$360
Ivan Duke,AZ,Male,66,$100
Ivory Guerra,CO,Male,54,$524
Ivory Merritt,NC,Male,41,$120
Ivy Sutton,TX,Female,52,$258
Ivy White,VA,Female,26,$90
Jacinto Ford,TX,Male,53,$20
Jacinto Fuentes,NY,Male,30,$1540
Jacinto Whitley,FL,Male,89,$120
Jack Douglas,WA,Male,60,$240
Jack Owens,FL,Male,66,$469
Jackie Atkins,OR,Male,54,$544
Jackie Jensen,TX,Male,49,$397
Jackie OBrien,TN,Female,31,$263
Jacklyn Christian,CA,Female,43,$403
Jacklyn Nolan,CO,Female,35,$294
Jackson Conway,TX,Male,54,$277
Jackson Melton,AZ,Male,44,$362
Jackson Rojas,FL,Male,67,$175
Jaclyn Chang,GA,Female,58,$500
Jaclyn Durham,AL,Female,55,$100
Jacob Mullen,NC,Male,53,$91
Jacqueline Austin,PA,Female,70,$150
Jacqueline Cannon,FL,Female,57,$45
Jacquelyn Raymond,OR,Female,49,$330
Jae Vang,SC,Male,52,$210
Jae Walter,AZ,Male,49,$79
Jaime Weaver,PA,Male,28,$20
Jake Colon,CT,Male,65,$60
Jake Curtis,CA,Male,65,$40
Jamaal Frost,RI,Male,67,$239
Jamaal Hogan,NJ,Male,48,$165
Jamaal Hull,FL,Male,61,$260
Jamal Schwartz,TX,Male,47,$39
Jamal Sharp,TX,Male,40,$65
Jamar Ball,MA,Male,22,$13
Jamar Dawson,NC,Male,21,$534
Jamar Mueller,MA,Male,48,$1224
Jame Ayala,NM,Male,62,$360
Jame Bradshaw,FL,Male,80,$20
Jame Clay,TX,Male,46,$180
Jamel Davis,VA,Male,59,$466
Jamel Morrow,NC,Male,43,$259
James Massey,VA,Female,25,$400
James Oneil,FL,Male,62,$350
Jamie Navarro,OH,Female,77,$366
Jamison Odonnell,RI,Male,61,$207
Jamison Valentine,OR,Male,49,$25
Jan Chan,NY,Male,49,$244
Jan Dale,FL,Male,69,$80
Jan Hendricks,TX,Male,28,$308
Jan McConnell,PA,Female,67,$265
Jana Morris,TX,Female,56,$100
Jane Albert,PA,Female,49,$282
Jane Salazar,FL,Female,65,$349
Janell English,TX,Female,60,$240
Janell Harmon,NY,Female,70,$121
Janelle Barnett,GA,Female,53,$112
Janelle Battle,CA,Female,53,$60
Janelle Cohen,FL,Female,74,$45
Janelle Jenkins,CA,Female,37,$243
Janelle Love,CT,Female,30,$400
Janet Cantu,TX,Female,82,$810
Janet Massey,TX,Female,36,$565
Janet Reyes,NY,Female,74,$141
Janet Valenzuela,GA,Female,31,$439
Janet Workman,LA,Female,71,$669
Janette Fischer,TX,Female,60,$175
Janice Estrada,LA,Female,37,$774
Janice Fuentes,VA,Female,36,$359
Janice Martin,AL,Female,39,$423
Janice Mercado,OH,Female,61,$329
Janie Strickland,OH,Female,53,$180
Janine Castillo,FL,Female,52,$1026
Janine Wooten,NY,Female,66,$180
Janis McCray,NY,Female,54,$334
Janna Cote,NC,Female,61,$919
Jannie Meadows,TX,Female,41,$844
Jannie Porter,FL,Female,70,$635
Jared Blake,NC,Male,55,$170
Jarod Banks,WA,Male,61,$284
Jarod Farley,TX,Male,40,$417
Jarod Small,CA,Male,71,$100
Jarred Stokes,PA,Male,22,$160
Jarrod Boone,CO,Male,45,$423
Jarrod Joseph,AZ,Male,45,$119
Jarrod McIntosh,CO,Male,37,$849
Jasmine Cervantes,TX,Female,73,$120
Jasmine Key,TX,Female,38,$113
Jason Douglas,MA,Male,51,$459
Jay Cook,FL,Male,59,$65
Jay Dotson,FL,Male,59,$125
Jay King,GA,Male,63,$135
Jay Newman,SC,Male,52,$105
Jayne Clements,TX,Female,78,$80
Jayne Shields,VA,Female,37,$361
Jayson Moss,NC,Male,25,$210
Jc Crawford,LA,Male,48,$491
Jc Rivera,FL,Male,93,$714
Jean Compton,MA,Male,39,$1000
Jean Hines,TX,Male,56,$709
Jean Lynch,TX,Female,79,$214
Jean Meadows,NC,Female,67,$120
Jean Sherman,NY,Male,49,$90
Jeanette Nicholson,MA,Female,45,$210
Jeanine Weber,MA,Female,39,$210
Jeanne Ball,FL,Female,69,$26
Jeanne Gamble,TN,Female,62,$78
Jeanne Livingston,SC,Female,56,$120
Jeannette Becker,OH,Female,35,$215
Jeannette Chan,CA,Female,26,$84
Jeannette Elliott,RI,Female,70,$145
Jeannette Galloway,TX,Female,76,$155
Jeannette Hatfield,NM,Female,36,$26
Jeannie McCullough,OR,Female,41,$668
Jeannie Osborn,TX,Female,60,$423
Jeannine Barrera,NY,Female,42,$278
Jed Ashley,MA,Male,36,$120
Jed Powers,FL,Male,65,$379
Jeff Mitchell,RI,Male,57,$274
Jefferey Clements,FL,Male,50,$519
Jefferson Clay,CA,Male,48,$375
Jefferson Morales,CT,Male,41,$60
Jefferson Parks,AZ,Male,77,$91
Jeffery Hyde,AZ,Male,57,$246
Jeffery OBrien,TX,Male,38,$555
Jeffery Tran,FL,Male,65,$261
Jeffry Barker,FL,Male,76,$155
Jeffry Dennis,NY,Male,30,$444
Jeffry Middleton,LA,Male,62,$60
Jeffry Santana,CO,Male,67,$100
Jeffry Terry,MA,Male,39,$170
Jenifer Ramirez,FL,Female,52,$145
Jenna Cervantes,NH,Female,29,$200
Jennie Bridges,VA,Female,30,$279
Jennie McClain,CA,Female,70,$939
Jennifer Farmer,CA,Female,64,$588
Jennifer Stanton,SC,Female,69,$181
Jenny Foreman,CA,Female,58,$300
Jenny Frederick,FL,Female,97,$300
Jenny Kelly,NY,Female,39,$120
Jenny Salinas,RI,Female,62,$268
Jenny Sullivan,SC,Female,27,$210
Jerald Kirby,CO,Male,40,$351
Jeramy Richardson,VA,Male,22,$243
Jeramy Snider,MA,Male,43,$1174
Jeramy Sosa,CA,Male,21,$200
Jeramy William,NJ,Male,74,$789
Jeremiah Marshall,OR,Male,27,$272
Jeremy Davis,NY,Male,55,$140
Jeremy Reynolds,CO,Male,64,$214
Jeremy Reynolds,NY,Male,39,$95
Jeri Robbins,TX,Female,43,$436
Jerold England,NC,Male,68,$479
Jerold Livingston,NM,Male,42,$26
Jerold Miles,GA,Male,52,$125
Jeromy Dodson,FL,Male,89,$366
Jeromy Hess,OH,Male,44,$400
Jerrell Sullivan,PA,Male,73,$279
Jerri Meyer,FL,Female,80,$106
Jerri Santana,NC,Female,58,$66
Jerrod Richmond,TN,Male,58,$153
Jerrod Webb,VA,Male,23,$529
Jerrold Lopez,NH,Male,54,$419
Jerrold Sandoval,MA,Male,38,$264
Jerry Edwards,WA,Female,42,$237
Jerry Fitzpatrick,GA,Female,50,$180
Jerry Hardy,TX,Male,58,$274
Jerry Moss,NC,Female,35,$329
Jerry Wiggins,VA,Male,66,$75
Jess Barron,NM,Male,61,$65
Jess Brock,AZ,Male,46,$140
Jess King,FL,Male,94,$280
Jesse Bruce,NH,Male,34,$350
Jesse Clayton,NC,Male,65,$15
Jesse Myers,NC,Male,64,$457
Jesse Wiggins,GA,Male,33,$199
Jessica Bailey,OR,Female,52,$325
Jessica Dodson,TX,Female,58,$285
Jessica Harrison,CA,Female,68,$557
Jessie Anderson,CT,Female,32,$180
Jessie Bird,CA,Male,55,$140
Jessie Fuller,TX,Female,49,$326
Jessie Hodges,TN,Female,59,$60
Jessie Maldonado,CT,Male,38,$299
Jesus Patrick,TX,Male,30,$530
Jesus Puckett,VA,Male,46,$117
Jewel Dixon,GA,Female,63,$200
Jewel Jones,AZ,Male,50,$120
Jewel Maddox,TX,Male,53,$80
Jewel Walters,FL,Female,69,$361
Jewell Ellis,NJ,Male,67,$549
Jewell Melendez,OR,Female,62,$440
Jewell Petty,CA,Male,42,$359
Jewell Richardson,NY,Male,30,$264
Jewell Vincent,NC,Male,70,$20
Jillian Shields,NC,Female,44,$389
Jim Cortez,OR,Male,62,$223
Jim Owen,NC,Male,71,$450
Jimmie Walls,NC,Male,53,$459
Jimmy Gilmore,CA,Male,34,$60
Jimmy McNeil,GA,Male,31,$304
Joann Buck,CO,Female,47,$160
Joanna Chen,TX,Female,42,$120
Joanna McKinney,FL,Female,79,$484
Joanne Barron,GA,Female,63,$279
Joanne Roach,FL,Female,84,$419
Joanne Small,CA,Female,70,$120
Jocelyn Carter,TN,Female,52,$65
Jocelyn Graves,NC,Female,25,$704
Jocelyn Randall,MA,Female,62,$145
Jodi Casey,TX,Female,41,$120
Jodie Guthrie,FL,Female,96,$417
Jody Olson,FL,Female,73,$105
Joe Barlow,CO,Male,69,$514
Joel Hammond,CT,Male,26,$140
Joel Osborn,AZ,Male,56,$132
Joel Wiggins,CA,Male,24,$50
Joesph Lancaster,NM,Male,80,$35
Joesph Lane,FL,Male,82,$200
Joesph Ramos,NY,Male,36,$278
Joesph Tran,CT,Male,68,$56
Joey Gonzales,MA,Male,69,$15
Johanna Copeland,RI,Female,40,$579
John Chandler,VA,Male,22,$1309
John Velez,NY,Female,63,$381
Johnathan Ramirez,SC,Male,57,$110
Johnie Whitaker,NC,Male,68,$224
Johnnie Blankenship,CA,Female,65,$769
Johnnie Finley,FL,Female,49,$299
Johnnie Simmons,NJ,Male,25,$1293
Johnnie Wagner,NC,Female,57,$204
Johnny Bean,RI,Male,64,$479
Johnny Sanchez,CO,Male,68,$310
Johnson Davidson,TX,Male,28,$150
Jolene Benson,CA,Female,75,$381
Jolene Clements,TN,Female,67,$92
Jolene Massey,TX,Female,57,$30
Jolene McDonald,CA,Female,61,$319
Jolene Miles,VA,Female,42,$1120
Jon Boyer,NC,Male,34,$200
Jon McCormick,CA,Male,59,$13
Jon Olsen,CO,Male,70,$20
Jonah Dominguez,CT,Male,35,$170
Jonah Durham,NJ,Male,21,$180
Jonas Barrett,LA,Male,34,$579
Jonas Hunter,LA,Male,60,$294
Jonathan Clements,TX,Male,37,$56
Jonathan Delaney,MA,Male,72,$240
Jonathan Garcia,AZ,Male,79,$190
Jonathon Barron,AZ,Male,69,$257
Jonathon Whitley,TX,Male,38,$252
Joni Hooper,GA,Female,24,$490
Joni Owens,NY,Female,47,$404
Jordan Rosales,TN,Male,26,$117
Jordan Valdez,FL,Male,75,$40
Jordon Rosa,SC,Male,28,$217
Jordon Schneider,TX,Male,40,$852
Jorge Blackwell,VA,Male,26,$104
Jorge Lawrence,NM,Male,48,$880
Jorge Levine,NJ,Male,50,$537
Jose Norton,FL,Male,93,$172
Jose Robertson,CT,Male,36,$354
Jose Schroeder,FL,Male,78,$345
Josef Olsen,FL,Male,49,$60
Josefa Trevino,MA,Female,53,$52
Josefina Perry,NC,Female,26,$253
Joseph Alford,LA,Male,51,$70
Josephine Ford,AL,Female,71,$415
Josephine Hart,CO,Female,49,$145
Josh Lynn,TX,Male,47,$295
Joshua Hoffman,NJ,Male,50,$381
Joshua Velasquez,NC,Male,49,$870
Joshua White,NJ,Male,24,$60
Josie Baldwin,VA,Female,60,$274
Josie Bowers,GA,Female,52,$170
Josie Strong,CA,Female,63,$138
Jospeh Conway,TX,Male,47,$529
Jospeh Sargent,TX,Male,75,$186
Josue Blevins,MA,Male,47,$479
Josue Morris,FL,Male,57,$280
Joy Espinoza,OH,Female,64,$90
Joy Salas,CO,Female,71,$654
Joy Trujillo,CA,Female,57,$140
Juan Calhoun,FL,Male,69,$629
Juan Dickson,FL,Male,53,$499
Juan McKay,CA,Male,61,$78
Juan Moody,OH,Male,27,$110
Juan Perez,VA,Male,50,$40
Juana Cooper,FL,Female,59,$60
Juana Thornton,MA,Female,45,$300
Juanita Clements,CO,Female,44,$283
Juanita Hebert,TX,Female,67,$696
Juanita Potter,NC,Female,66,$20
Judith Rivera,FL,Female,46,$209
Judson Booker,NC,Male,51,$13
Judson Knowles,CO,Male,59,$360
Judson Simmons,AL,Male,34,$160
Judy Moss,AZ,Female,61,$1009
Judy Trevino,NC,Female,29,$180
Jules Lamb,FL,Male,81,$84
Jules Petersen,CA,Male,56,$290
Julia Barlow,NC,Female,66,$38
Julia Petty,TX,Female,61,$398
Julia Solis,GA,Female,67,$364
Julianne Hardin,TX,Female,82,$60
Julianne Mueller,SC,Female,51,$522
Julianne White,OR,Female,61,$302
Julie Bird,RI,Female,34,$204
Julie Travis,TX,Female,71,$150
Juliet Baker,PA,Female,62,$419
Juliet Combs,TX,Female,59,$295
Juliet Duffy,TX,Female,33,$300
Juliet McIntosh,CA,Female,71,$160
Julius Black,TX,Male,61,$45
June Alexander,PA,Female,41,$1039
June Valentine,GA,Female,50,$60
Junior McFarland,CA,Male,22,$986
Justin Edwards,FL,Male,61,$581
Justin Garza,CT,Male,36,$380
Justin Rosario,TX,Male,48,$100
Justine Franks,TX,Female,52,$40
Justine Reid,CA,Female,72,$215
Kaitlin Cooke,NJ,Female,24,$196
Kaitlin Shannon,FL,Female,86,$250
Kara Hawkins,FL,Female,71,$170
Kareem Buck,CA,Male,73,$709
Kareem Payne,VA,Male,62,$559
Karen Barlow,FL,Female,76,$240
Karen Neal,NY,Female,30,$78
Kari Ray,UT,Female,40,$280
Kari Rosario,CA,Female,46,$52
Karin Wise,SC,Female,61,$117
Karl Bird,NY,Male,40,$350
Karl Cherry,AZ,Male,61,$296
Karl Coleman,AL,Male,63,$633
Karla Hendricks,FL,Female,89,$383
Karyn Bradshaw,AL,Female,68,$170
Karyn Kane,CA,Female,62,$580
Karyn Montoya,FL,Female,59,$125
Kasey Glass,UT,Male,39,$120
Kasey Vance,GA,Female,75,$359
Katelyn Fuller,OR,Female,35,$363
Katelyn Sharpe,NY,Female,56,$309
Katelyn Summers,CA,Female,25,$490
Katharine Blanchard,CO,Female,27,$238
Katherine Flowers,OH,Female,73,$1240
Katherine Stuart,GA,Female,61,$127
Katheryn Duffy,GA,Female,70,$156
Kathie Burns,VA,Female,73,$924
Kathie Curtis,NY,Female,71,$99
Kathie Nieves,NY,Female,29,$13
Kathleen Beach,CO,Female,73,$104
Kathleen Hayden,TN,Female,70,$26
Kathleen Saunders,NY,Female,25,$201
Kathrine Hobbs,RI,Female,73,$225
Kathrine Moses,NH,Female,43,$200
Kathrine Reese,CA,Female,77,$239
Kathrine Roy,NY,Female,33,$417
Kathy Knox,VA,Female,43,$210
Katie Butler,NC,Female,54,$120
Katie McKay,NY,Female,44,$374
Katina Dejesus,FL,Female,53,$140
Katina McFarland,TX,Female,39,$25
Katina Pace,TX,Female,49,$242
Katina Robinson,LA,Female,68,$337
Katy Andrews,CO,Female,67,$379
Katy Hunter,CA,Female,73,$384
Katy Mitchell,NC,Female,35,$140
Katy Nash,PA,Female,50,$120
Kay Arnold,CA,Female,73,$490
Kay Calderon,NC,Female,77,$329
Kay Maddox,NY,Female,43,$198
Kay Whitaker,TX,Female,66,$220
Kaye Byers,AZ,Female,35,$91
Kaye Ellison,TX,Female,60,$494
Kaye Lester,TN,Female,67,$146
Kaye Richards,GA,Female,39,$26
Kayla Garrison,UT,Female,66,$539
Kayla Giles,PA,Female,66,$137
Kayla Wilkinson,FL,Female,72,$289
Keith McCarty,GA,Male,21,$454
Keith Oneil,NY,Male,49,$10
Kelley Battle,NY,Female,44,$100
Kelley Craig,NY,Male,28,$315
Kelley Sears,OH,Female,66,$200
Kelli Gilliam,TX,Female,49,$145
Kellie Franks,NJ,Female,68,$80
Kellie Nichols,NY,Female,76,$324
Kellie Perez,CO,Female,36,$633
Kelly Knowles,OH,Male,68,$624
Kelly Moses,NJ,Female,54,$343
Kelvin Gardner,AL,Male,68,$552
Kelvin Riley,PA,Male,23,$180
Ken Blevins,NC,Male,61,$166
Ken Hayes,OH,Male,57,$929
Ken Hines,FL,Male,55,$130
Ken Johnston,TX,Male,61,$312
Ken Wise,NY,Male,52,$196
Kendall Frederick,CO,Male,58,$320
Kendall Hood,VA,Male,36,$692
Kendall Slater,TN,Male,42,$50
Kendra Clay,NY,Female,58,$213
Kendra Cook,VA,Female,32,$269
Kendra Haney,WA,Female,68,$100
Kendra Rollins,TX,Female,51,$202
Kendrick Vaughan,CA,Male,46,$110
Keneth Harris,LA,Male,22,$479
Keneth Sanders,VA,Male,22,$90
Kenneth Buckner,NJ,Male,74,$100
Kenneth Simon,MA,Male,73,$157
Kenneth Wilkins,NH,Male,27,$30
Kennith Sloan,LA,Male,69,$186
Kenny Davenport,NJ,Male,49,$160
Kenny Horne,FL,Male,95,$225
Kent Bradshaw,AZ,Male,82,$160
Kent Quinn,FL,Male,78,$125
Keri Olson,NY,Female,59,$225
Kermit McMillan,CA,Male,20,$220
Kerri Mejia,FL,Female,74,$187
Kerry Burks,TX,Male,46,$184
Kerry Keith,NC,Female,40,$296
Kerry McKenzie,MA,Male,55,$415
Keven Soto,GA,Male,46,$324
Kevin Dickson,NC,Male,63,$380
Kevin Trevino,FL,Male,60,$560
Kim Douglas,FL,Male,59,$280
Kim Love,TX,Male,33,$66
Kim Vance,SC,Female,34,$300
Kimberley Chase,CO,Female,72,$3
Kimberley Dean,TX,Female,81,$363
Kimberley Marshall,FL,Female,46,$424
Kimberley Pena,TX,Female,78,$533
Kimberly Head,TX,Female,43,$259
Kimberly Henry,GA,Female,40,$185
King Green,CO,Male,24,$870
King Lucas,TX,Male,52,$764
Kip Dennis,TX,Male,41,$656
Kip Elliott,TX,Male,55,$127
Kip McClure,PA,Male,42,$117
Kirsten Maynard,NY,Female,37,$240
Korey Chaney,CA,Male,29,$559
Korey Lane,TX,Male,53,$274
Kory Henry,NY,Male,27,$125
Kory Nichols,WA,Male,67,$473
Kraig Mays,MA,Male,54,$384
Kris Berry,NC,Male,28,$609
Kris Byrd,AZ,Female,81,$17
Kris Carney,FL,Female,67,$1140
Kris Edwards,NJ,Female,31,$125
Kris Figueroa,WA,Female,48,$599
Kris Patrick,NC,Male,59,$20
